cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled,admin4Name_en,admin4Name_ua,admin4Name_ru,admin4Pcode,admin3Name_en,admin3Name_ua,admin3Name_ru,admin3Pcode,admin2Name_en,admin2Name_ua,admin2Name_ru,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Name_ru,admin1Pcode,duplicated
Дніпро,"вул. Фабра Андрія, 7","Дніпро, вул. Фабра Андрія, 7",08:30 - 18:00,6000,True,Dnipro,Дніпро,Днипро,UA1202001001,Dniprovska,Дніпровська,Днепровская,UA1202001,Dniprovskyi,Дніпровський,Днипровский,UA1202,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,False
Дніпрорудне,"вул. Героїв Праці, 11","Дніпрорудне, вул. Героїв Праці, 11",09:00 - 16:00,6000,True,Dniprorudne,Дніпрорудне,Днепрорудное,UA2304009001,Dniprorudnenska,Дніпрорудненська,Днепрорудненская,UA2304009,Vasylivskyi,Василівський,Васильевский,UA2304,Zaporizka,Запорізька,Запорожская,UA23,False
Дрогобич,"вул. Володимира Великого, 7","Дрогобич, вул. Володимира Великого, 7",08:00 - 20:00,6000,True,Drohobych,Дрогобич,Дрогобыч,UA4602003001,Drohobytska,Дрогобицька,Дрогобычская,UA4602003,Drohobytskyi,Дрогобицький,Дрогобычский,UA4602,Lvivska,Львівська,Львовская,UA46,False
Дружківка,"вул. Соборна, 32а","Дружківка, вул. Соборна, 32а",зачинено,0,False,Druzhkivka,Дружківка,Дружковка,UA1412003001,Druzhkivska,Дружківська,Дружковская,UA1412003,Kramatorskyi,Краматорський,Краматорский,UA1412,Donetska,Донецька,Донецкая,UA14,False
Енергодар,"просп. Будівельників, 45","Енергодар, просп. Будівельників, 45",09:00 - 16:00,0,True,Enerhodar,Енергодар,Энергодар,UA2304011001,Enerhodarska,Енергодарська,Энергодарская,UA2304011,Vasylivskyi,Василівський,Васильевский,UA2304,Zaporizka,Запорізька,Запорожская,UA23,False
Енергодар,"вул. Українська, 27 а","Енергодар, вул. Українська, 27 а",09:00 - 16:30,6000,True,Enerhodar,Енергодар,Энергодар,UA2304011001,Enerhodarska,Енергодарська,Энергодарская,UA2304011,Vasylivskyi,Василівський,Васильевский,UA2304,Zaporizka,Запорізька,Запорожская,UA23,False
Житомир,"вул. Грушевського Михайла, 5","Житомир, вул. Грушевського Михайла, 5",09:00 - 17:00,6000,True,Zhytomyr,Житомир,Житомир,UA1804019001,Zhytomyrska,Житомирська,Житомирская,UA1804019,Zhytomyrskyi,Житомирський,Житомирский,UA1804,Zhytomyrska,Житомирська,Житомирская,UA18,False
Житомир,"майд. Житній Ринок, 1","Житомир, майд. Житній Ринок, 1",09:00 - 17:00,6000,True,Zhytomyr,Житомир,Житомир,UA1804019001,Zhytomyrska,Житомирська,Житомирская,UA1804019,Zhytomyrskyi,Житомирський,Житомирский,UA1804,Zhytomyrska,Житомирська,Житомирская,UA18,False
Запоріжжя,"вул. Бородінська, 20б","Запоріжжя, вул. Бородінська, 20б",09:00 - 18:30,6000,True,,,,,,,,,,,,,,,,,True
Запоріжжя,"бул. Вінтера, 30","Запоріжжя, бул. Вінтера, 30",08:30 - 18:30,6000,True,,,,,,,,,,,,,,,,,True
Запоріжжя,"вул. Іванова, 1а","Запоріжжя, вул. Іванова, 1а",08:30 - 18:30,6000,True,,,,,,,,,,,,,,,,,True
Запоріжжя,"просп. Металургів, 8 б","Запоріжжя, просп. Металургів, 8 б",08:30 - 18:30,6000,True,,,,,,,,,,,,,,,,,True
Запоріжжя,"вул. Новокузнецька, 41","Запоріжжя, вул. Новокузнецька, 41",08:30 - 18:30,6000,True,,,,,,,,,,,,,,,,,True
Запоріжжя,"вул. Перемоги, 64","Запоріжжя, вул. Перемоги, 64",зачинено,0,False,,,,,,,,,,,,,,,,,True
Запоріжжя,"просп. Преображенського Інженера , 13","Запоріжжя, просп. Преображенського Інженера , 13",зачинено,0,False,,,,,,,,,,,,,,,,,True
