cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled,city_UKR,city_ENG,admin2Name_ua,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Pcode
Івано-Франківськ,"вул. Мазепи, 168а","Івано-Франківськ, вул. Мазепи, 168а",08:00 - 20:00,6000,True,Івано-Франківськ,Ivano-Frankivsk,Івано-Франківський,UA2604,Ivano-Frankivska,Івано-Франківська,UA26
Івано-Франківськ,"бул. Північний ім. Пушкіна, 2а","Івано-Франківськ, бул. Північний ім. Пушкіна, 2а",08:00 - 20:00,6000,True,Івано-Франківськ,Ivano-Frankivsk,Івано-Франківський,UA2604,Ivano-Frankivska,Івано-Франківська,UA26
Калуш,"майд. Шептицького, 7","Калуш, майд. Шептицького, 7",08:00 - 20:00,6000,True,Калуш,Kalush,,,,,
Кам’янець-Подільський,"вул. Гагаріна, 42/1","Кам’янець-Подільський, вул. Гагаріна, 42/1",08:00 - 19:00,6000,True,Кам’янець-Подільський,Kamianets-Podilskyi,Кам'янець-Подільський,UA6802,Khmelnytska,Хмельницька,UA68
Кам’янець-Подільський,"шосе Нігинське, 41/1","Кам’янець-Подільський, шосе Нігинське, 41/1",08:00 - 19:00,6000,True,Кам’янець-Подільський,Kamianets-Podilskyi,Кам'янець-Подільський,UA6802,Khmelnytska,Хмельницька,UA68
Кам’янець-Подільський,"вул. Українки Лесі, 30","Кам’янець-Подільський, вул. Українки Лесі, 30",08:00 - 19:00,6000,True,Кам’янець-Подільський,Kamianets-Podilskyi,Кам'янець-Подільський,UA6802,Khmelnytska,Хмельницька,UA68
Кам’янське,"просп. Шевченка, 9","Кам’янське, просп. Шевченка, 9",08:00 - 18:00,6000,True,Кам’янське,Kamianske,Кам’янський,UA1204,Dnipropetrovska,Дніпропетровська,UA12
Канів,"вул. Енергетиків, 12А","Канів, вул. Енергетиків, 12А",08:00 - 19:00,6000,True,Канів,Kaniv,,,,,
Київ,"вул. Антоновича, 165","Київ, вул. Антоновича, 165",09:00 - 17:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Архипенка Олександра, 6","Київ, вул. Архипенка Олександра, 6",08:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Багговутівська, 17-21","Київ, вул. Багговутівська, 17-21",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Бальзака Оноре, 91/29а","Київ, вул. Бальзака Оноре, 91/29а",08:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Бандери Степана, 36","Київ, просп. Бандери Степана, 36",09:00 - 17:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Басейна, 6","Київ, вул. Басейна, 6",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
