cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled,admin4Name_en,admin4Name_ua,admin4Pcode,admin3Name_en,admin3Name_ua,admin3Pcode,admin2Name_en,admin2Name_ua,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Pcode
Львів,"вул. Хмельницького Богдана, 214","Львів, вул. Хмельницького Богдана, 214",з 08:00 до 22:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"просп. Червоної Калини, 62","Львів, просп. Червоної Калини, 62",з 08:00 до 23:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"просп. Чорновола В’ячеслава, 77","Львів, просп. Чорновола В’ячеслава, 77",з 08:00 до 22:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Шевченка, 358а","Львів, вул. Шевченка, 358а",з 08:00 до 23:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Шевченка, 60","Львів, вул. Шевченка, 60",з 08:00 до 23:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Широка, 87","Львів, вул. Широка, 87",з 08:00 до 22:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Миколаїв,"просп. Центральний, 259/1","Миколаїв, просп. Центральний, 259/1",з 08:00 до 23:00,6000,True,Mykolaiv,Миколаїв,UA4806015001,Mykolaivska,Миколаївська,UA4806015,Mykolaivskyi,Миколаївський,UA4806,Mykolaivska,Миколаївська,UA48
Миколаїв,"просп. Центральний, 98","Миколаїв, просп. Центральний, 98",з 08:00 до 21:30,6000,True,Mykolaiv,Миколаїв,UA4806015001,Mykolaivska,Миколаївська,UA4806015,Mykolaivskyi,Миколаївський,UA4806,Mykolaivska,Миколаївська,UA48
Миколаїв,"вул. Чкалова, 82","Миколаїв, вул. Чкалова, 82",з 08:00 до 22:00,6000,True,Mykolaiv,Миколаїв,UA4806015001,Mykolaivska,Миколаївська,UA4806015,Mykolaivskyi,Миколаївський,UA4806,Mykolaivska,Миколаївська,UA48
Обухів,"вул. Київська, 107","Обухів, вул. Київська, 107",з 07:30 до 22:00,6000,True,Obukhiv,Обухів,UA3212011001,Obukhivska,Обухівська,UA3212011,Obukhivskyi,Обухівський,UA3212,Kyivska,Київська,UA32
