cityTitleManual,storeTitleManual,titleManual,admin4Name_en,admin4Name_ua,admin4Pcode,admin3Name_en,admin3Name_ua,admin3Pcode,admin2Name_en,admin2Name_ua,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Pcode
Київ,"шосе Харківське, 144б","Київ, шосе Харківське, 144б",Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"шосе Харківське, 168","Київ, шосе Харківське, 168",Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"шосе Харківське, 21","Київ, шосе Харківське, 21",Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Лозова,"мікр. Мікрорайон 5, 1","Лозова, мікр. Мікрорайон 5, 1",Lozova,Лозова,UA6310005001,Lozivska,Лозівська,UA6310005,Lozivskyi,Лозівський,UA6310,Kharkivska,Харківська,UA63
Львів,"вул. Виговського, 100","Львів, вул. Виговського, 100",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Володимира Великого, 26а","Львів, вул. Володимира Великого, 26а",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Городоцька, 179","Львів, вул. Городоцька, 179",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Кульпарківська, 226 а","Львів, вул. Кульпарківська, 226 а",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Кульпарківська, 93а","Львів, вул. Кульпарківська, 93а",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Мазепи Гетьмана, 11","Львів, вул. Мазепи Гетьмана, 11",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Мазепи Гетьмана, 1Б","Львів, вул. Мазепи Гетьмана, 1Б",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Наукова, 35а","Львів, вул. Наукова, 35а",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Пасічна, 164","Львів, вул. Пасічна, 164",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Під Дубом, 7б","Львів, вул. Під Дубом, 7б",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Сахарова академіка, 45","Львів, вул. Сахарова академіка, 45",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Хмельницького Богдана, 214","Львів, вул. Хмельницького Богдана, 214",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Шевченка, 358а","Львів, вул. Шевченка, 358а",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Шевченка, 60","Львів, вул. Шевченка, 60",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Широка, 87","Львів, вул. Широка, 87",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"пл. Соборна, 14-15","Львів, пл. Соборна, 14-15",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"просп. Червоної Калини, 62","Львів, просп. Червоної Калини, 62",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"просп. Чорновола В’ячеслава, 77","Львів, просп. Чорновола В’ячеслава, 77",Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Миколаїв,"вул. Чкалова, 82","Миколаїв, вул. Чкалова, 82",Mykolaiv,Миколаїв,UA4806015001,Mykolaivska,Миколаївська,UA4806015,Mykolaivskyi,Миколаївський,UA4806,Mykolaivska,Миколаївська,UA48
Миколаїв,"просп. Центральний, 259/1","Миколаїв, просп. Центральний, 259/1",Mykolaiv,Миколаїв,UA4806015001,Mykolaivska,Миколаївська,UA4806015,Mykolaivskyi,Миколаївський,UA4806,Mykolaivska,Миколаївська,UA48
Миколаїв,"просп. Центральний, 98","Миколаїв, просп. Центральний, 98",Mykolaiv,Миколаїв,UA4806015001,Mykolaivska,Миколаївська,UA4806015,Mykolaivskyi,Миколаївський,UA4806,Mykolaivska,Миколаївська,UA48
Обухів,"вул. Київська, 107","Обухів, вул. Київська, 107",Obukhiv,Обухів,UA3212011001,Obukhivska,Обухівська,UA3212011,Obukhivskyi,Обухівський,UA3212,Kyivska,Київська,UA32
Остер,"вул. Хмельницького Богдана, 54","Остер, вул. Хмельницького Богдана, 54",Oster,Остер,UA7410031001,Osterska,Остерська,UA7410031,Chernihivskyi,Чернігівський,UA7410,Chernihivska,Чернігівська,UA74
Полтава,"вул. Європейська, 185","Полтава, вул. Європейська, 185",Poltava,Полтава,UA5308037001,Poltavska,Полтавська,UA5308037,Poltavskyi,Полтавський,UA5308,Poltavska,Полтавська,UA53
Полтава,"вул. Європейська, 60А","Полтава, вул. Європейська, 60А",Poltava,Полтава,UA5308037001,Poltavska,Полтавська,UA5308037,Poltavskyi,Полтавський,UA5308,Poltavska,Полтавська,UA53
Полтава,"вул. Зіньківська, 6/1а","Полтава, вул. Зіньківська, 6/1а",Poltava,Полтава,UA5308037001,Poltavska,Полтавська,UA5308037,Poltavskyi,Полтавський,UA5308,Poltavska,Полтавська,UA53
